Code	Site	Block	Plot	Point	Treatment	Depth	Date	SWC
5	Gamir	1	1	2	Control	10	12/01/2016	29.2
6	Gamir	1	1	2	Control	20	12/01/2016	28.3
7	Gamir	1	1	2	Control	30	12/01/2016	31.9
8	Gamir	1	1	2	Control	40	12/01/2016	28.7
9	Gamir	1	1	3	Control	10	12/01/2016	23.1
10	Gamir	1	1	3	Control	20	12/01/2016	25.7
11	Gamir	1	1	3	Control	30	12/01/2016	30.7
12	Gamir	1	1	3	Control	40	12/01/2016	28.7
13	Gamir	1	1	4	Control	10	12/01/2016	31.6
14	Gamir	1	1	4	Control	20	12/01/2016	25.5
15	Gamir	1	1	4	Control	30	12/01/2016	22.5
16	Gamir	1	1	4	Control	40	12/01/2016	24.9
17	Gamir	1	1	5	Control	10	12/01/2016	NA
18	Gamir	1	1	5	Control	20	12/01/2016	NA
19	Gamir	1	1	5	Control	30	12/01/2016	NA
20	Gamir	1	1	5	Control	40	12/01/2016	NA
21	Gamir	1	1	6	Control	10	12/01/2016	NA
22	Gamir	1	1	6	Control	20	12/01/2016	NA
23	Gamir	1	1	6	Control	30	12/01/2016	NA
24	Gamir	1	1	6	Control	40	12/01/2016	NA
25	Gamir	2	2	1	Control	10	12/01/2016	26.5
26	Gamir	2	2	1	Control	20	12/01/2016	23.7
27	Gamir	2	2	1	Control	30	12/01/2016	25.8
28	Gamir	2	2	1	Control	40	12/01/2016	26.9
29	Gamir	2	2	2	Control	10	12/01/2016	26.5
30	Gamir	2	2	2	Control	20	12/01/2016	21.7
31	Gamir	2	2	2	Control	30	12/01/2016	22.8
32	Gamir	2	2	2	Control	40	12/01/2016	20.0
33	Gamir	2	2	3	Control	10	12/01/2016	17.7
34	Gamir	2	2	3	Control	20	12/01/2016	27.5
35	Gamir	2	2	3	Control	30	12/01/2016	27.6
36	Gamir	2	2	3	Control	40	12/01/2016	23.9
37	Gamir	2	2	4	Control	10	12/01/2016	21.9
38	Gamir	2	2	4	Control	20	12/01/2016	19.4
39	Gamir	2	2	4	Control	30	12/01/2016	20.9
40	Gamir	2	2	4	Control	40	12/01/2016	20.4
41	Gamir	2	2	5	Control	10	12/01/2016	NA
42	Gamir	2	2	5	Control	20	12/01/2016	NA
43	Gamir	2	2	5	Control	30	12/01/2016	NA
44	Gamir	2	2	5	Control	40	12/01/2016	NA
45	Gamir	2	2	6	Control	10	12/01/2016	NA
46	Gamir	2	2	6	Control	20	12/01/2016	NA
47	Gamir	2	2	6	Control	30	12/01/2016	NA
48	Gamir	2	2	6	Control	40	12/01/2016	NA
49	Gamir	2	3	1	Drought	10	12/01/2016	27.7
50	Gamir	2	3	1	Drought	20	12/01/2016	24.9
51	Gamir	2	3	1	Drought	30	12/01/2016	29.4
52	Gamir	2	3	1	Drought	40	12/01/2016	31.7
53	Gamir	2	3	2	Drought	10	12/01/2016	22.8
54	Gamir	2	3	2	Drought	20	12/01/2016	25.2
55	Gamir	2	3	2	Drought	30	12/01/2016	24.3
56	Gamir	2	3	2	Drought	40	12/01/2016	25.7
57	Gamir	2	3	3	Drought	10	12/01/2016	25.2
58	Gamir	2	3	3	Drought	20	12/01/2016	24.0
59	Gamir	2	3	3	Drought	30	12/01/2016	21.0
60	Gamir	2	3	3	Drought	40	12/01/2016	20.4
61	Gamir	2	3	4	Drought	10	12/01/2016	14.2
62	Gamir	2	3	4	Drought	20	12/01/2016	17.3
63	Gamir	2	3	4	Drought	30	12/01/2016	29.1
64	Gamir	2	3	4	Drought	40	12/01/2016	22.7
65	Gamir	2	3	5	Drought	10	12/01/2016	NA
66	Gamir	2	3	5	Drought	20	12/01/2016	NA
67	Gamir	2	3	5	Drought	30	12/01/2016	NA
68	Gamir	2	3	5	Drought	40	12/01/2016	NA
69	Gamir	2	3	6	Drought	10	12/01/2016	NA
70	Gamir	2	3	6	Drought	20	12/01/2016	NA
71	Gamir	2	3	6	Drought	30	12/01/2016	NA
72	Gamir	2	3	6	Drought	40	12/01/2016	NA
73	Gamir	3	4	1	Drought	10	12/01/2016	27.2
74	Gamir	3	4	1	Drought	20	12/01/2016	29.1
75	Gamir	3	4	1	Drought	30	12/01/2016	25.8
76	Gamir	3	4	1	Drought	40	12/01/2016	26.9
77	Gamir	3	4	2	Drought	10	12/01/2016	29.2
78	Gamir	3	4	2	Drought	20	12/01/2016	26.6
79	Gamir	3	4	2	Drought	30	12/01/2016	28.3
80	Gamir	3	4	2	Drought	40	12/01/2016	28.3
81	Gamir	3	4	3	Drought	10	12/01/2016	18.0
